pos	neg	neu	compound	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude	Author
0.0	0.0	1.0	0.0	"UU Cipta kerja membantu pemulihan ekonomi
#IndonesiaMaju https://t.co/fWa2JXAGYN"	2021-03-14 07:44:08	in		0.0	0.0		Zuzzan.		138.0	2.0	0.0	38.0	0.0	False			@Zuzzan_Maigara
0.231	0.0	0.769	0.6369	"Berkah UU Cipta Kerja optimis ekonomi pulih 2021.

@jokowi https://t.co/83ycE9Up8L"	2021-03-14 07:29:05	in		0.0	0.0		Cahyani Ika	Love NKRI🇮🇩 Bhineka Tunggal Ika	258.0	150.0	304.0	305.0	3.0	False			@CahyaniIka3
0.0	0.0	1.0	0.0	Soal Rencana AAJI Gugat UU Cipta Kerja, Begini Jawaban DJP https://t.co/fA4IjRtQi9 #Terbaru #berita #video	2021-03-14 07:22:02	in		0.0	0.0		IDNpos.com		89487.0	12.0	207.0	2013.0	3.0	False			@idnpublic
0.0	0.0	1.0	0.0	"Klaster unggulan dalam UU cipta kerja adalah klaster investasi
Vaksin Yuk Gaes https://t.co/8jSzf7lIRq"	2021-03-14 06:13:10	in		0.0	1.0		Cilok		65.0	7.0	37.0	25.0	0.0	False			@Cilokecilok
0.0	0.0	1.0	0.0	"UU cipta kerja membantu pemulihan ekonomi dan UMKM

Vaksin Yuk Gaes https://t.co/FSIRLmweTS"	2021-03-14 06:10:58	in		0.0	1.0		Cilok		65.0	7.0	37.0	25.0	0.0	False			@Cilokecilok
0.0	0.0	1.0	0.0	UU Cipta Kerja penting tapi Vaksin Yuk Gaes https://t.co/o7mft7UHgH	2021-03-14 06:04:26	in		0.0	1.0		Swara Warganet	Saya Buzzer Jokowi | 🇲🇨	389.0	189.0	433.0	342.0	0.0	False			@Swarawarganet_
0.0	0.0	1.0	0.0	1th lalu. Ctatan akademisi/intelektual utk Naskah akademik Omnibus Law Cipta Kerja. Saran dan kritik konstruktif telah disuarakan oleh berbagai kalangan utamanya para cendekia yg merasa terpanggil utk peduli thdp negeri. Kini kita bisa melihat... pnjajahan kapitalis mkin brutal.. https://t.co/uQjBGwAXID	2021-03-14 05:53:33	in		2.0	0.0		adhwa adzkiyya	"‏‏يَرْفَعِ ٱللَّهُ ٱلَّذِينَ ءَامَنُوا۟ مِنكُمْ وَٱلَّذِينَ أُوتُوا۟ ٱلْعِلْمَ دَرَجَٰتٍ 
 



DM akhwat only"	3350.0	1511.0	593.0	772.0	0.0	False			@rubiyaramsha
0.0	0.0	1.0	0.0	"UU omnibus law Cipta kerja bertujuan membangun dan mensejahterakan 
Masyarakat.
Vaksin Yuk Gaes https://t.co/jS9Dwv8FV0"	2021-03-14 05:43:28	in		0.0	1.0		Rub.	"Cilik Tapi Nyelekit #LaskarBerbagiKasih
#NetzenForNegri"	11565.0	19942.0	2432.0	2176.0	0.0	False			@catedoss
0.0	0.0	1.0	0.0	"UU Cipta kerja bertujuan membangun dan mensejahterakan 
Masyarakat.
Vaksin Yuk Gaes https://t.co/otX889qk4Y"	2021-03-14 05:39:49	in		0.0	1.0		broer®🌴™	#2021IndonesiaMaju	10670.0	17490.0	3018.0	3114.0	0.0	False			@QROEB_01
0.0	0.0	1.0	0.0	Pengangguran mulai berkurang dengan adanya UU Cipta Kerja! ✊🇮🇩 https://t.co/C9ybtrdFIt	2021-03-14 05:39:21	in		0.0	0.0		Hkaisupy	Melanesia!	315.0	148.0	95.0	41.0	0.0	False			@Hkaisupy1
0.0	0.0	1.0	0.0	Pengangguran mulai berkurang dengan adanya UU Cipta Kerja! ✊🇮🇩 https://t.co/1AR2loFDcm	2021-03-14 05:38:28	in		0.0	0.0		TuhuleleFikri	Nyong manis dari saparua!	336.0	121.0	71.0	32.0	0.0	False			@TuhuleleF
0.0	0.0	1.0	0.0	Pengangguran mulai berkurang dengan adanya UU Cipta Kerja! ✊🇮🇩 https://t.co/UH5liDoJJO	2021-03-14 05:37:56	in		0.0	0.0		Zhehalatu	Keberhasilan adalah bertemunya kesempatan dengan kemampuan.	332.0	171.0	112.0	58.0	0.0	False			@Zhehalatu1
0.0	0.0	1.0	0.0	Pengangguran mulai berkurang dengan adanya UU Cipta Kerja! ✊🇮🇩 https://t.co/I6flkRdvYw	2021-03-14 05:37:27	in		0.0	0.0		BanyTamher	"Dan bermimpi saja tidak akan pernah cukup. Dan sebuah impian memang seharusnya tidak perlu terlalu banyak dibicarakan, tetapi diperjuangkan. 
Donny Dhirgantoro,"	398.0	169.0	71.0	48.0	0.0	False			@TamherBany
0.0	0.0	1.0	0.0	Pengangguran mulai berkurang dengan adanya UU Cipta Kerja! ✊🇮🇩 https://t.co/XIvbNLTopx	2021-03-14 05:36:56	in		0.0	0.0		Ali Lussy	Kulit hitam, pencinta lautan, & asli saparua maluku!	4237.0	2918.0	106.0	52.0	0.0	False			@ali_lussy
0.3	0.068	0.633	0.7579	@arieframadhanm Betul. Itu juga yang UU Cipta Kerja bangun. Free market labour.	2021-03-14 05:35:29	in		0.0	0.0	@arieframadhanm	Alo! 🐒	Professional Procrastinator. Geeky Connoisseur. Croissant lover	44486.0	1637.0	529.0	6494.0	13.0	False			@mhuseinali
0.0	0.0	1.0	0.0	"Klaster unggulan dalam UU Cipta Kerja adalah klaster Investasi..
Vaksin Yuk Gaes https://t.co/R6R3zJc6p9"	2021-03-14 05:33:53	in		0.0	1.0		jashujann		12.0	8.0	18.0	17.0	0.0	False			@jashujann2
0.0	0.0	1.0	0.0	"Klaster unggulan dalam UU cipta kerja adalah klaster investasi karena uang dari para investor akan digunakan untuk membangkitkan sektor perekonomian di Indonesia.
Vaksin Yuk Gaes https://t.co/fc4sgUDcVG"	2021-03-14 05:26:33	in		0.0	0.0		Duniafana		103.0	12.0	5.0	3.0	0.0	False			@Duniiafana
0.0	0.0	1.0	0.0	"UU Cipta Kerja membantu pemulihan Ekonomi dan UMKM

Vaksin Yuk Gaes https://t.co/lMXolfIVyB"	2021-03-14 05:22:58	in		0.0	0.0		🥑+TahuTempe	.	578.0	167.0	26.0	32.0	0.0	False			@Tahutempeee_
0.0	0.0	1.0	0.0	"UU Cipta Kerja membantu pemulihan ekonomi dan UMKM.

Vaksin Yuk Gaes https://t.co/9OVxcpH0sx"	2021-03-14 05:17:08	in		2.0	0.0		Senyumanmu Begitu Indah	?	158.0	149.0	102.0	45.0	0.0	False			@Panglim4Kumban9
0.0	0.0	1.0	0.0	"Cluster investasi dalam undang-undang Cipta kerja menjadi klaster unggulan. 

Vaksin Yuk Gaes https://t.co/GEICfWDJnq"	2021-03-14 05:15:15	in		1.0	0.0		The_D ™	"#MM36
penikmat film
pasti aku follback 💯%
akuun remahan
yuuukk
#JalinPersatuan"	1475.0	4203.0	1450.0	1433.0	0.0	False			@OrangKampungk
0.0	0.0	1.0	0.0	"UU Cipta Kerja membantu dalam pemulihan ekonomi.
Vaksin Yuk Gaes https://t.co/4aKv1xmNDT"	2021-03-14 05:12:25	in		0.0	0.0		Kopiko	akun damai| NKRI 🇮🇩 |	686.0	104.0	239.0	238.0	0.0	False			@Kopiimu
0.0	0.0	1.0	0.0	"@N_TasyaJKT48 btw ini yg rkuhp apa cipta kerja dah?
the poster is rkuhp tp lu pake masker.."	2021-03-14 05:12:14	in		1.0	0.0	@keziadotcom	kezia 👺	ada yang tak bisa untuk dijelaskan dengan hipotesa ilmiah sekalipun	17764.0	16638.0	1181.0	1064.0	8.0	False			@keziadotcom
0.0	0.0	1.0	0.0	"Klaster unggulan dalam UU Cipta Kerja adalah klaster investasi.
Vaksin Yuk Gaes https://t.co/S44cvhd6rI"	2021-03-14 05:12:05	in		0.0	0.0		Yudha Karan	"Follow langsung FOLLBACK
NKRI HARGA MATI 🇲🇨"	1603.0	1056.0	61.0	88.0	0.0	False			@KaranYudha
0.0	0.0	1.0	0.0	"UU Cipta Kerja membantu pemulihan ekonomi dan UMKM.
Vaksin Yuk Gaes https://t.co/qVeJudUZco"	2021-03-14 05:09:43	in		0.0	0.0		Yudha Karan	"Follow langsung FOLLBACK
NKRI HARGA MATI 🇲🇨"	1603.0	1056.0	61.0	88.0	0.0	False			@KaranYudha
0.0	0.0	1.0	0.0	Soal Rencana AAJI Gugat UU Cipta Kerja, Begini Jawaban DJP https://t.co/SAYebXpKww https://t.co/NBCXNCwAww	2021-03-14 05:03:33	in		0.0	0.0		Rama Sugiharto®		38514.0	18.0	2641.0	250.0	2.0	False			@Sugirama
0.0	0.0	1.0	0.0	"Adanya UU Cipta Kerja membantu dalam memulihkan ekonomi serta UMKM.
Vaksin Yuk Gaes https://t.co/I39O4CZ6Pd"	2021-03-14 05:00:44	in		0.0	0.0		Melia	admin cewe cantik, manis imut suka marmut.	452.0	38.0	150.0	121.0	0.0	False			@oramundur
0.0	0.06	0.94	-0.2732	Jokowi Resmi Teken PP Turunan UU Cipta Kerja, Pekerja PKWT Bisa Dikontrak hingga 5 Tahun – Pikiran Rakyat – https://t.co/1ZJuwg0WmR https://t.co/5WA4s4VfZk	2021-03-14 05:00:10	in		0.0	0.0		Opsiin	"Penghimpun Kabar dari Negeri untuk Negeri
iklan/pengembangan dibutuhkan. Apabila anda menemukan hoax dari kami? Lapor: mediainformasi1@gmail.com"	2014505.0	158.0	2165.0	1128.0	43.0	False			@opsiin
0.0	0.062	0.938	-0.2732	Jokowi Resmi Teken PP Turunan UU Cipta Kerja, Pekerja PKWT Bisa Dikontrak hingga 5 Tahun – Pikiran Rakyat https://t.co/zLOiFHHE5T	2021-03-14 04:59:55	in		0.0	0.0		Opsiin	"Penghimpun Kabar dari Negeri untuk Negeri
iklan/pengembangan dibutuhkan. Apabila anda menemukan hoax dari kami? Lapor: mediainformasi1@gmail.com"	2014505.0	158.0	2165.0	1128.0	43.0	False			@opsiin
0.0	0.0	1.0	0.0	"Vaksin Yuk Gaes

Klaster unggulan dalam UU Cipta Kerja adalah Investasi https://t.co/dM82xLJ4Fn"	2021-03-14 04:55:34	in		0.0	0.0		Choiroh NA		6824.0	6171.0	668.0	824.0	0.0	False			@Choiroh7
0.0	0.0	1.0	0.0	"UU cipta kerja utk  menolong para pengusaha UMKM 👍
Vaksin Yuk Gaes https://t.co/TCKlAaINrJ"	2021-03-14 04:52:31	in		0.0	0.0		Soto Cak Marmo	Istimewa Rasanya Istimewa twitnya!	145.0	14.0	97.0	34.0	0.0	False			@CakMarmo
0.0	0.0	1.0	0.0	"UU Cipta Kerja dibuat oleh pemerintah untuk menolong para pengusaha UMKM, agar bisnis mereka bisa bangkit 

Vaksin Yuk Gaes https://t.co/1XjhW6OyNb"	2021-03-14 04:51:46	in		2.0	2.0		🍊+Javanese Salad		1073.0	306.0	35.0	38.0	0.0	False			@pecelll_
0.0	0.0	1.0	0.0	"Klaster unggulan dalam UU Cipta Kerja adalah klaster investasi.
Vaksin Yuk Gaes https://t.co/4MfXC4VCNc"	2021-03-14 04:50:12	in		1.0	1.0		Wawa	NKRI HARGA MATI 🇲🇨 FOLLOW LANGSUNG FOLLBACK	652.0	162.0	65.0	53.0	1.0	False			@Wawa18374929
0.0	0.0	1.0	0.0	"UU cipta kerja dibuat pemerintah untuk menolong para pengusaha UMKM..
Vaksin Yuk Gaes https://t.co/ulgJEVzEoA"	2021-03-14 04:50:00	in		0.0	0.0		Pentol Gembul	belajar dari kesalahan	1158.0	112.0	117.0	116.0	0.0	False			@candellstik
0.0	0.0	1.0	0.0	"Vaksin Yuk Gaes

UU Cipta Kerja bantu pemulihan ekonomi dan UMKM. https://t.co/KmtKx5O59e"	2021-03-14 04:47:31	in		5.0	5.0		Choiroh NA		6824.0	6171.0	668.0	824.0	0.0	False			@Choiroh7
0.0	0.0	1.0	0.0	"UU cipta kerja dibuat pemerintah untuk menolong para pengusaha UMKM dan membantu pemulihan ekonomi.
Vaksin Yuk Gaes https://t.co/I2imCMxBAW"	2021-03-14 04:45:04	in		0.0	0.0		Duniafana		103.0	12.0	5.0	3.0	0.0	False			@Duniiafana
0.0	0.0	1.0	0.0	"Vaksin Yuk Gaes
Cluster unggulan dalam UU Cipta kerja adalah cluster investasi. https://t.co/HVmKNPfnuA"	2021-03-14 04:44:19	in		0.0	0.0		Agil rabbanie🇮🇩	Still Single |Gamers	71.0	1.0	132.0	79.0	0.0	False			@AgilRabbanie
0.0	0.0	1.0	0.0	"Vaksin Yuk Gaes
dengan adanya undang-undang Cipta kerja sangatlah membantu untuk pemulihan ekonomi nasional dan UMKM di Indonesia. https://t.co/ddmqPmdfXZ"	2021-03-14 04:43:34	in		0.0	0.0		DivaChandra🇮🇩	05	133.0	2.0	140.0	60.0	0.0	False			@Divachandra10
0.25	0.0	0.75	0.6124	"UU cipta kerja membantu pemulihan ekonomi dan UMKM.
Vaksin Yuk Gaes https://t.co/tGAZDiW9H9"	2021-03-14 04:43:15	in		1.0	0.0		Skyblue	i like sky but i like u more	846.0	538.0	227.0	193.0	0.0	False			@Skyybiyuu
0.0	0.0	1.0	0.0	"Vaksin Yuk Gaes
Semangat
UU Cipta kerja sangatlah membantu pemulihan ekonomi nasional dan UMKM. https://t.co/bZPVxwf85k"	2021-03-14 04:42:55	in		0.0	0.0		Chanda Diva 🇮🇩	I Will be There For You	83.0	3.0	324.0	62.0	0.0	False			@ChandaDiva
0.0	0.0	1.0	0.0	Vaksin Yuk Gaes klaster Investasi dlm UU Cipta Kerja👍 https://t.co/u1xFYXUVCZ	2021-03-14 04:42:41	in		0.0	0.0		Cak Cermo	Maturnuwun Gusti ingkang paring karahayon	171.0	13.0	82.0	36.0	0.0	False			@CakCermo
0.0	0.0	1.0	0.0	Vaksin Yuk Gaes UU Cipta kerja akan membantu dlm pemulihan Ekonomi👍 https://t.co/ZsFrtBK9aw	2021-03-14 04:40:35	in		0.0	0.0		Cak Cermo	Maturnuwun Gusti ingkang paring karahayon	171.0	13.0	82.0	36.0	0.0	False			@CakCermo
